15265,1575130307,"Обещали привезти 29-30ноября до 18:00 4 заявки, у двух из них в какой то момент поменялась дата доставки на 30-1, в чате сказали что это ""мы дураки(зачеркнуть) невнимательные"", и все так изначально было. Через час в личном кабинете показали, что всё таки изменили дату доставки. И вот я жду оставшиеся 2 заявки(кстати с едой, сидим голодные ждём), 30 ноября в 18:30 звоню, и узнаю что перенесли мои заказы на 1-2 декабря. Без предупреждения, мне никто не звонил, я два дня сижу жду заказа и ещё два дня должна сидеть дома? Почему я должна сама звонить и узнавать что доставку перенесли? Вы прикалываетесь? 
Прощай, беру, ты был хорошим другом, хоть и недолго. 
Отменила все, закажу в другом месте.
Другие службы доставки привозят вовремя, а если и задерживаются, хоть звонят предупреждают."
15082,1575007922,"Из-за халатности Ваших сотрудников я не получила товар вовремя. Делайте экспересс доставку за счет того человека, который накосячил. Мне что делать теперь? Товар мне нужен в воскресенье утром, решайте как хотите."
15081,1575007803,Тоже ситуация с доставкой неприятная!!!!!!!!!!!! Но у меня похуже. Я купила там товар более чем на 35тр и они его отправили на доставку перепутав мой адрес и передав другой адрес совершенно. Т.е. мой товар просто могли принести или принесли и отдали в другие руки!!!! Вот как???????? И теперь мне не могут назвать точную дату доставки. На линии ничего не решают как и говорили....Я в шоке. Доставка должна быть вчера
15071,1575005763,"Объясните, почему у вас пишется, что акция уже закончилась, если сказано, что она действует до 30 ноября?"
15061,1574971148,"Отвратительное обслуживание!!нет!очень отвратительное обслуживание!! 
сделал Заказ №10827295 ,8 уличных светильников на сумму 2500р.высвеьилось сообщение,доставим его 26.11 с 10 до 18. но товар не привезли.позвонила служба доставки в 10-00,сделали 1гудок и бросили трубку,я перезвонил,оператор домставки сказал ожидайте  с вами свяжутся,прошло 6 часов и во второй половине перезвонила долгожданная служба доставки и говорят что все машины уже ушли это было  примерно в районе 16-00,служба доставки ,сказала сегодня все машины ушли.позвонил в службу поддержки магазина Беру,но менеджер сказал извините ни чем помочь не можем,мы приняли вашу заявку, ожидайте,ваша заявка рассматривается 24 часа ,по итогу прошло 2суток,звоню на третьи сутки спрашиваю оператора когда же наконец то получу свой заветный заказ.но оператор снова сказал,ни чем помочь не могу,ожидайте сегодня с вами свяжутся,мы вам позвоним,но прошел ещё один день со мной так ни кто и не связался,снова день потерян.товар до сих пор не получил,отвратительное обслуживание и отношение к клиентам!менеджеры и интернет магазин не заинтересован в клиентах.и повторяют как попугаи мы ни чем вам помочь не можем."
15041,1574955871,"Уважаемая Служба Поддержки, можно ли пояснить недалёкому Покупателю, вроде меня, на каком основании вы снимаете с себя ответственность за невыполнение условий договора на доставку? Где в вашем пользовательском соглашении написано про «извините, нас (и вас заодно) подвёл поставщик, обращайтесь к нему».  Я серьезно прошу вас, напишите, какой пункт Соглашения вам позволяет это делать.
Чек на покупку выписывает Яндекс, а не ИП. Вы пользуетесь моими деньгами неделю, заставляете ждать товар, кормите завтраками, а потом вежливо шлете. Это нехорошо 😏"
15007,1574927381,"Беру - у меня для вас бесплатная идея есть: те телефонные операторы, которые ничего не решают и твердят шаблонные фразы - отправьте их заказы разносить, и не будет проблем с доставкой👍"
14987,1574919439,"Офигеть, вчера 27 доставили заказ от 21 числа, 6 дней, из них большинство без всяких уведомлений о переносах доставки, если б не звонил ежедневно, то думаю вообще ничего не привезли бы, я за неделю сейчас из Китая могу получить посылку. А беру машину времени изобрели, заказ все ещё в пути к 23😀"
14970,1574883817,Отвратительно работает доставка!
14967,1574882378,"Свершилось! Всего три дня ожидания, десятки звонков, часы поисков, разнящиеся ответы от Беру и ПЭК. И этот старенький синий каблук с пенсионером-курьером-грузом, доехали до меня. В 90-м году, я бы испытывал радость, в 2019 только скорбь."
